Name,trial_id,rating_reference,rating_non_reference,rating_reference_score,rating_non_reference_score
Jasa,Jasa High Instrumentals (C1),reference,C1,5.0,1.0
Simon,Simon High Instrumentals (C1),reference,C1,5.0,1.0
Alex,Alex High Instrumentals (C1),reference,C1,5.0,1.28
Jasa,Jasa High Instrumentals (C10),reference,C10,5.0,5.0
Simon,Simon High Instrumentals (C10),reference,C10,5.0,5.0
Alex,Alex High Instrumentals (C10),reference,C10,5.0,4.95
Jasa,Jasa High Instrumentals (C11),reference,C11,4.95,5.0
Simon,Simon High Instrumentals (C11),reference,C11,5.0,5.0
Alex,Alex High Instrumentals (C11),reference,C11,4.95,5.0
Jasa,Jasa High Instrumentals (C12),reference,C12,5.0,2.8
Simon,Simon High Instrumentals (C12),reference,C12,5.0,1.0
Alex,Alex High Instrumentals (C12),reference,C12,5.0,2.3
Jasa,Jasa High Instrumentals (C13),reference,C13,5.0,5.0
Simon,Simon High Instrumentals (C13),reference,C13,4.36,4.36
Alex,Alex High Instrumentals (C13),reference,C13,4.95,5.0
Jasa,Jasa High Instrumentals (C2),reference,C2,5.0,5.0
Simon,Simon High Instrumentals (C2),reference,C2,4.66,5.0
Alex,Alex High Instrumentals (C2),reference,C2,4.37,5.0
Jasa,Jasa High Instrumentals (C3),reference,C3,5.0,5.0
Simon,Simon High Instrumentals (C3),reference,C3,5.0,3.33
Alex,Alex High Instrumentals (C3),reference,C3,5.0,4.95
Jasa,Jasa High Instrumentals (C4),reference,C4,5.0,5.0
Simon,Simon High Instrumentals (C4),reference,C4,3.4,5.0
Alex,Alex High Instrumentals (C4),reference,C4,4.3,5.0
Jasa,Jasa High Instrumentals (C5),reference,C5,5.0,5.0
Simon,Simon High Instrumentals (C5),reference,C5,3.44,5.0
Alex,Alex High Instrumentals (C5),reference,C5,5.0,4.95
Jasa,Jasa High Instrumentals (C6),reference,C6,5.0,5.0
Simon,Simon High Instrumentals (C6),reference,C6,5.0,5.0
Alex,Alex High Instrumentals (C6),reference,C6,4.9,5.0
Jasa,Jasa High Instrumentals (C7),reference,C7,5.0,5.0
Simon,Simon High Instrumentals (C7),reference,C7,5.0,4.2
Alex,Alex High Instrumentals (C7),reference,C7,5.0,4.9
Jasa,Jasa High Instrumentals (C8),reference,C8,5.0,3.52
Simon,Simon High Instrumentals (C8),reference,C8,5.0,3.08
Alex,Alex High Instrumentals (C8),reference,C8,5.0,3.7
Jasa,Jasa High Instrumentals (C9),reference,C9,5.0,5.0
Simon,Simon High Instrumentals (C9),reference,C9,5.0,5.0
Alex,Alex High Instrumentals (C9),reference,C9,4.95,5.0
Jasa,Jasa Low Instrumentals (C1),reference,C1,5.0,1.0
Simon,Simon Low Instrumentals (C1),reference,C1,5.0,1.0
Alex,Alex Low Instrumentals (C1),reference,C1,5.0,1.04
Jasa,Jasa Low Instrumentals (C10),reference,C10,5.0,4.75
Simon,Simon Low Instrumentals (C10),reference,C10,5.0,3.88
Alex,Alex Low Instrumentals (C10),reference,C10,5.0,4.04
Jasa,Jasa Low Instrumentals (C11),reference,C11,5.0,4.7
Simon,Simon Low Instrumentals (C11),reference,C11,2.72,5.0
Alex,Alex Low Instrumentals (C11),reference,C11,5.0,4.85
Jasa,Jasa Low Instrumentals (C12),reference,C12,5.0,1.0
Simon,Simon Low Instrumentals (C12),reference,C12,5.0,1.0
Alex,Alex Low Instrumentals (C12),reference,C12,5.0,1.28
Jasa,Jasa Low Instrumentals (C13),reference,C13,5.0,4.7
Simon,Simon Low Instrumentals (C13),reference,C13,5.0,3.75
Alex,Alex Low Instrumentals (C13),reference,C13,5.0,4.9
Jasa,Jasa Low Instrumentals (C2),reference,C2,5.0,4.75
Simon,Simon Low Instrumentals (C2),reference,C2,5.0,3.57
Alex,Alex Low Instrumentals (C2),reference,C2,5.0,4.9
Jasa,Jasa Low Instrumentals (C3),reference,C3,5.0,1.5
Simon,Simon Low Instrumentals (C3),reference,C3,5.0,1.0
Alex,Alex Low Instrumentals (C3),reference,C3,5.0,1.44
Jasa,Jasa Low Instrumentals (C4),reference,C4,5.0,2.6
Simon,Simon Low Instrumentals (C4),reference,C4,5.0,3.66
Alex,Alex Low Instrumentals (C4),reference,C4,5.0,3.08
Jasa,Jasa Low Instrumentals (C5),reference,C5,5.0,4.7
Simon,Simon Low Instrumentals (C5),reference,C5,5.0,3.0
Alex,Alex Low Instrumentals (C5),reference,C5,5.0,4.95
Jasa,Jasa Low Instrumentals (C6),reference,C6,5.0,4.7
Simon,Simon Low Instrumentals (C6),reference,C6,2.33,5.0
Alex,Alex Low Instrumentals (C6),reference,C6,5.0,4.8
Jasa,Jasa Low Instrumentals (C7),reference,C7,5.0,4.8
Simon,Simon Low Instrumentals (C7),reference,C7,3.33,5.0
Alex,Alex Low Instrumentals (C7),reference,C7,5.0,4.88
Jasa,Jasa Low Instrumentals (C8),reference,C8,5.0,2.0
Simon,Simon Low Instrumentals (C8),reference,C8,5.0,3.76
Alex,Alex Low Instrumentals (C8),reference,C8,5.0,4.68
Jasa,Jasa Low Instrumentals (C9),reference,C9,5.0,4.7
Simon,Simon Low Instrumentals (C9),reference,C9,2.36,5.0
Alex,Alex Low Instrumentals (C9),reference,C9,5.0,4.64
Jasa,Jasa Mid Instrumentals (C1),reference,C1,5.0,1.0
Simon,Simon Mid Instrumentals (C1),reference,C1,5.0,5.0
Alex,Alex Mid Instrumentals (C1),reference,C1,5.0,1.6
Jasa,Jasa Mid Instrumentals (C10),reference,C10,4.9,5.0
Simon,Simon Mid Instrumentals (C10),reference,C10,3.92,5.0
Alex,Alex Mid Instrumentals (C10),reference,C10,5.0,4.8
Jasa,Jasa Mid Instrumentals (C11),reference,C11,5.0,5.0
Simon,Simon Mid Instrumentals (C11),reference,C11,3.72,5.0
Alex,Alex Mid Instrumentals (C11),reference,C11,4.95,5.0
Jasa,Jasa Mid Instrumentals (C12),reference,C12,5.0,2.0
Simon,Simon Mid Instrumentals (C12),reference,C12,5.0,1.32
Alex,Alex Mid Instrumentals (C12),reference,C12,5.0,3.0
Jasa,Jasa Mid Instrumentals (C13),reference,C13,5.0,5.0
Simon,Simon Mid Instrumentals (C13),reference,C13,4.0,5.0
Alex,Alex Mid Instrumentals (C13),reference,C13,4.95,5.0
Jasa,Jasa Mid Instrumentals (C2),reference,C2,5.0,5.0
Simon,Simon Mid Instrumentals (C2),reference,C2,4.32,4.32
Alex,Alex Mid Instrumentals (C2),reference,C2,5.0,4.36
Jasa,Jasa Mid Instrumentals (C3),reference,C3,5.0,4.8
Simon,Simon Mid Instrumentals (C3),reference,C3,5.0,2.28
Alex,Alex Mid Instrumentals (C3),reference,C3,5.0,3.58
Jasa,Jasa Mid Instrumentals (C4),reference,C4,5.0,5.0
Simon,Simon Mid Instrumentals (C4),reference,C4,3.44,5.0
Alex,Alex Mid Instrumentals (C4),reference,C4,5.0,4.95
Jasa,Jasa Mid Instrumentals (C5),reference,C5,5.0,5.0
Simon,Simon Mid Instrumentals (C5),reference,C5,4.0,5.0
Alex,Alex Mid Instrumentals (C5),reference,C5,4.3,5.0
Jasa,Jasa Mid Instrumentals (C6),reference,C6,4.8,5.0
Simon,Simon Mid Instrumentals (C6),reference,C6,3.92,5.0
Alex,Alex Mid Instrumentals (C6),reference,C6,4.2,5.0
Jasa,Jasa Mid Instrumentals (C7),reference,C7,5.0,5.0
Simon,Simon Mid Instrumentals (C7),reference,C7,5.0,4.2
Alex,Alex Mid Instrumentals (C7),reference,C7,4.9,5.0
Jasa,Jasa Mid Instrumentals (C8),reference,C8,5.0,4.95
Simon,Simon Mid Instrumentals (C8),reference,C8,3.48,5.0
Alex,Alex Mid Instrumentals (C8),reference,C8,5.0,4.76
Jasa,Jasa Mid Instrumentals (C9),reference,C9,5.0,5.0
Simon,Simon Mid Instrumentals (C9),reference,C9,4.25,5.0
Alex,Alex Mid Instrumentals (C9),reference,C9,5.0,4.9
