rating_non_reference,rating_reference_score,rating_non_reference_score
C1,5.0,1.5466666666666666
C10,4.868888888888889,4.713333333333334
C11,4.587777777777777,4.949999999999999
C12,5.0,1.7444444444444445
C13,4.806666666666667,4.745555555555556
C2,4.816666666666666,4.655555555555555
C3,5.0,3.0977777777777775
C4,4.571111111111112,4.365555555555556
C5,4.637777777777778,4.733333333333333
C6,4.461111111111111,4.944444444444445
C7,4.803333333333334,4.775555555555556
C8,4.831111111111111,3.938888888888889
C9,4.617777777777778,4.915555555555556
